canon_symbol,raw_symbol,value_num,value_str,source,pattern
C_e,distance,3.5,3.5,VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyOfMass.tex,assignment
C_e,distance,3.5,3.5,VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyTimeWesternScience.tex,assignment
C_e,distance,1.0,1.0,VAM_0_Einstein_to_Vortex_Fluid/sections/04_ConnectionToVAM.tex,assignment
C_e,C_e,1.09384563,1.09384563,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_C_ExperimentalValidationOfVortexCoreTangientalVelocity.tex,assignment
C_e,distance,0.5,0.5,VAM_4_General_Relativity_from_Structured_Swirl/VAM-4-EmergentGeneralRelativityFromStructuredSwirlDynamicsInVAM.tex,assignment
r_c,ORCID,9.0,0009,VAM_0_Einstein_to_Vortex_Fluid/Cover_Letter_Iskandarani.txt,assignment
r_c,ORCID,9.0,0009,VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,assignment
r_c,ORCID,9.0,0009,VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/ONLINE-2-Swirl_Clocks_Appendices.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_B_Derivation_Of_Gswirl.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_C_ExperimentalValidationOfVortexCoreTangientalVelocity.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_D_ExperimentalValidationOfGravitationalPotential.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/Swirl_Clocks/appendix_F_LorentzInvariance.tex,assignment
r_c,ORCID,9.0,0009,VAM_2_Swirl_Clocks/WervelKlokken/2-Wervelklokken_en_vorticiteit_geïnduceerde_zwaartekracht.tex,assignment
r_c,ORCID,9.0,0009,VAM_3_Benchmarking_Relativity/VAM-3-Benchmarking_Vortex_Æther_Model_vs_General_Relativity.tex,assignment
r_c,ORCID,9.0,0009,VAM_4_General_Relativity_from_Structured_Swirl/VAM-4-EmergentGeneralRelativityFromStructuredSwirlDynamicsInVAM.tex,assignment
t_p,pdfoutput,1.0,1,VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,assignment
