symbol,type,found_value,canon_value,file,line,context,min_value,max_value,n_mentions
C_e,canon-mismatch,2.327e-25,1093845.63,VAM-8.5-Master_Formula.pdf,295.0,Ce 2.327e-25 2.371e-25 +1.91% +6.96%,,,
C_e,canon-mismatch,3.6,1093845.63,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,638.0,3.6 Chirality at the Knot Center and Temporal Vortex Flow,,,
C_e,canon-mismatch,4.0,1093845.63,VAM-14-Topological_Fluid_Dynamics_Lagrangian.pdf,718.0,"Group IV (Carbon) Central knot with 4 swirl lobes Balanced chirality, tetravalent High bonding versatility",,,
C_e,canon-mismatch,16.0,1093845.63,VAM_15_Quantum_Gravity.pdf,162.0,16VAM-11: Page 7 — Identifies ¯hwith angular momentum of electron vortex: ¯h=m eCerc. Matches observed value using VAM constants.,,,
C_e,canon-mismatch,0.0,1093845.63,VAM_15_Quantum_Gravity.pdf,205.0,Ceω0.,,,
C_e,canon-mismatch,19.0,1093845.63,VAM_15_Quantum_Gravity.pdf,206.0,"19VAM-3: Equation (1), p. 3 —G=Cec5t2p",,,
C_e,canon-mismatch,2.0,1093845.63,VAM_15_Quantum_Gravity.pdf,545.0,"2≈m eCerc, (9)",,,
C_e,canon-mismatch,1.09,1093845.63,VAM_15_Quantum_Gravity.pdf,547.0,"Ce∼1.09×106m/s,m eelectron mass), indeedm eCerc≈1.054×10−34Js, close to",,,
C_e,canon-mismatch,0.0,1093845.63,VAM_15_Quantum_Gravity.pdf,965.0,"Ceω0, (11)",,,
C_e,canon-mismatch,133.0,1093845.63,VAM_15_Quantum_Gravity.pdf,1017.0,133VAM-11: Sec. 4.1 — ¯hderived from vortex core angular momentum: ¯h=M ercCe.,,,
C_e,canon-mismatch,159.0,1093845.63,VAM_15_Quantum_Gravity.pdf,1218.0,159VAM-1: Sec. 4.1 — Defines Planck time as minimal loop swirl time:t p=rc/Ce.,,,
C_e,canon-mismatch,5.0,1093845.63,VAM_15_Quantum_Gravity.pdf,1398.0,Newton’sG(empirical const.) G=Cec5t2p,,,
C_e,canon-mismatch,0.0,1093845.63,VAM_15_Quantum_Gravity.pdf,1552.0,Ceω0inside the flow246 247. While extremely small (for lab scales perhaps 10−18,,,
C_e,canon-mismatch,1.094,1093845.63,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,62.0,CeTangential eddy core velocity1.094×106m/s,,,
C_e,canon-mismatch,2.0,1093845.63,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,92.0,CeLk (2),,,
C_e,canon-mismatch,5.0,1093845.63,VAM-2-Swirl_Clocks_and_Vorticity-Induced_Gravity.pdf,103.0,5λcCe(3),,,
