file,title,date
VAM_0_Einstein_to_Vortex_Fluid/Cover_Letter_Iskandarani.txt,,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Introduction,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Reevaluating Einstein’s Supposed Rejection of the Æther,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Multimodal Time: The Ætheric Temporal Ontology,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Connection to the Vortex Æther Model (VAM),
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Historical Continuity and Outlook,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Appendix I: Helmholtz and the Foundations of Vortex Physics,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Appendix II: Lord Kelvin and the Knot-Æther Critique,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Appendix III: James Clerk Maxwell on the Æther and the Vortex Atom Theory,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Appendix IV: Einstein on the Æther — Translated Quotes and VAM Equivalents,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Appendix V: VAM Resolution of Einstein’s Final Æther Paradox,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Final Reflection: Æther Past and Future,
VAM_0_Einstein_to_Vortex_Fluid/main-O.Iskandarani.tex,section: Short Biography of Authors,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,Revisiting the Æther:\\ From Einstein to the Vortex Fluid Paradigm,\today
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Introduction,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Reevaluating Einstein’s Supposed Rejection of the Æther,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Multimodal Time: The Ætheric Temporal Ontology,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Connection to the Vortex Æther Model (VAM),
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Historical Continuity and Outlook,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Appendix I: Helmholtz and the Foundations of Vortex Physics,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Appendix II: Lord Kelvin and the Knot-Æther Critique,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Appendix III: James Clerk Maxwell on the Æther and the Vortex Atom Theory,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Appendix IV: Einstein on the Æther — Translated Quotes and VAM Equivalents,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Appendix V: VAM Resolution of Einstein’s Final Æther Paradox,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Final Reflection: Æther Past and Future,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Acknowledgements,
VAM_0_Einstein_to_Vortex_Fluid/main.tex,section: Author Contributions,
VAM_0_Einstein_to_Vortex_Fluid/README.txt,,
VAM_0_Einstein_to_Vortex_Fluid/references.bib,,
VAM_0_Einstein_to_Vortex_Fluid/Definitions/journalnames.tex,,
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyOfMass.tex,,
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_OntologyTimeWesternScience.tex,,
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_SimultaneityTheories.tex,,
VAM_0_Einstein_to_Vortex_Fluid/figures/plot_WaveParticle.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/01_Introduction.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/02_Rejection_Æther.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/02_Rejection_Æther.tex,section: The Return of the Æther Concept (1920),
VAM_0_Einstein_to_Vortex_Fluid/sections/02_Rejection_Æther.tex,section: Æther as Carrier of Field Quality,
VAM_0_Einstein_to_Vortex_Fluid/sections/02_Rejection_Æther.tex,section: Emergent Lorentz Symmetry from Swirl Fields,
VAM_0_Einstein_to_Vortex_Fluid/sections/03_MultimodalTime.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/04_ConnectionToVAM.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/04_ConnectionToVAM.tex,subsection: Wave–Particle Duality Reconsidered,
VAM_0_Einstein_to_Vortex_Fluid/sections/05_ConclusionOutlook.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/05_ConclusionOutlook.tex,section: Conclusion and Forward Outlook: Æther Reclaimed,
VAM_0_Einstein_to_Vortex_Fluid/sections/05_ConclusionOutlook.tex,subsection: Future Directions and Experimental Signatures,
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,subsection: 1. Vorticity is conserved along fluid lines,
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,subsection: 2. Vortex lines cannot end in a fluid — they form closed loops or extend to boundaries,
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,subsection: 3. Circulation is invariant under ideal flow,
VAM_0_Einstein_to_Vortex_Fluid/sections/A1_Helmholtz.tex,subsection: Historical Legacy,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: Historical Context,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: Kelvin's Principal Objection,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: Experimental Shortcomings,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: Comparison to the Modern Particle Zoo,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: The VAM Response,
VAM_0_Einstein_to_Vortex_Fluid/sections/A2_Kelvin.tex,subsection: Concluding Reflection,
VAM_0_Einstein_to_Vortex_Fluid/sections/A3_Maxwell.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/A3_Maxwell.tex,subsection: Maxwell's View on the Æther,
VAM_0_Einstein_to_Vortex_Fluid/sections/A3_Maxwell.tex,subsection: Maxwell and the Vortex Atom Theory,
VAM_0_Einstein_to_Vortex_Fluid/sections/A3_Maxwell.tex,subsection: Legacy and Connection to VAM,
VAM_0_Einstein_to_Vortex_Fluid/sections/A3_Maxwell.tex,subsection: Reflection,
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,subsection: 1. ``Der Raum ohne Äther ist undenkbar..'',
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,"subsection: 2. ``Es scheint, als sei die Einführung eines Äthers überflüssig...''",
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,subsection: 3. ``Der Äther darf nicht als ein Medium mit mechanischen Eigenschaften gedacht werden...'',
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,subsection: 4. ``Das Gravitationsfeld selbst kann als ein Zustand dieses Äthers angesehen werden.'',
VAM_0_Einstein_to_Vortex_Fluid/sections/A4_Einstein.tex,subsection: 5. ``Die Zeit ist in einem Gravitationsfeld anders definiert...'',
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,,
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,subsubsection: Einstein’s Final Æther Statement (1920),
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,subsubsection: VAM Resolution: Internal Motion Without Bulk Translation,
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,subsubsection: Clocks and Rods from Swirl Geometry,
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,subsubsection: Reinterpreting “No Trackable Parts”,
VAM_0_Einstein_to_Vortex_Fluid/sections/A5_VAM.tex,subsubsection: Conclusion: From Silent Substrate to Structured Swirl,
VAM_1_TimeDilation_in_3D/1-Time_Dilation_in_3D_Superfluid_Æther_Model.bib,,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: Abstract,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: Introduction,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: 2. Core Assumptions of the 3D Superfluid Æther Model,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: 3. Derivation of the Swirl-Induced Time Dilation Law,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 3.1 Geometry of the Flow,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 3.2 Linking Swirl to Proper Time,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 3.3 The Laboratory Thought Experiment,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: 4. Extending to a 3D Swirl Field,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 4.1 From Cylinders to Curves,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 4.2 Generalized Time Dilation Formula,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 4.3 The Gravitational Analogy,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: 5. Comparison with Schwarzschild Time Dilation,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 5.1 Matching the Functional Form,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 5.2 Interpretation,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 5.3 Limitations,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: Time Dilation in Hydrogen Atoms within the Vortex Æther Model,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: Special Relativity Case: One Atom Moving at High Velocity,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: General Relativity Case: One Atom Near a Massive Object,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: 6. Possible Tests of the Model,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 6.1 Laboratory-Scale Experiments,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: 6.2 Astrophysical Clues,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,"subsection: 6.3 The “Small Difference, Big Stakes” Principle",
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,subsection: Physical Interpretation,
VAM_1_TimeDilation_in_3D/VAM-1-TimeDilationHydrogen.tex,section: Discussion and Conclusion,
VAM_1_TimeDilation_in_3D/VAM-1-Time_Dilation_in_3D_Superfluid_Æther_Model.tex,Time Dilation in a 3D Superfluid Æther Model\\  Based on Vortex Core Rotation and Ætheric Flow,\today
VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.bib,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.tex,"Tijddilatatie in een 3D Superfluïde Æther Model, Gebaseerd op Wervel kernrotatie en ætherische Stroom",\today
VAM_1_TimeDilation_in_3D/Tijddilatatie/1-Tijdsdilatatie_in_3D_Superfluïde_Æther_Model.tex,section: Abstract,
VAM_1_TimeDilation_in_3D/Tijddilatatie/1_introductie.tex,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/1_introductie.tex,section: Introductie,
VAM_1_TimeDilation_in_3D/Tijddilatatie/2_supervloeistof_æther_geraamte.tex,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/2_supervloeistof_æther_geraamte.tex,section: Superfluïde Æther Framework,
VAM_1_TimeDilation_in_3D/Tijddilatatie/3_vortex_klokken.tex,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/3_vortex_klokken.tex,section: Wervelklokken en juiste tijd,
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,section: Tijddilatatie door relatieve beweging,
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,subsection: (a) Kinematische afleiding,
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,subsection: (b) Vloeistofdynamische interpretatie,
VAM_1_TimeDilation_in_3D/Tijddilatatie/4_speciale_relativiteit.tex,subsection: Implication,
VAM_1_TimeDilation_in_3D/Tijddilatatie/5_gravitationele_tijd_dilatatie.tex,,
VAM_1_TimeDilation_in_3D/Tijddilatatie/5_gravitationele_tijd_dilatatie.tex,section: Gravitationele Tijddilatatie,
VAM_1_TimeDilation_in_3D/Tijddilatatie/5_gravitationele_tijd_dilatatie.tex,subsection: Ætherstroom als zwaartekracht,
VAM_1_TimeDilation_in_3D/Tijddilatatie/5_gravitationele_tijd_dilatatie.tex,subsection: Ætherweerstand en klokvertraging,
